user_id,datetime,contest_id,old_rate,new_rate,perf
pseudo561,1615719600.0,ahc001,0,203,1128
abcdhhhh,1615719600.0,ahc001,0,219,1159
spark_s_s,1615719600.0,ahc001,0,207,1137
wakasuki,1615719600.0,ahc001,0,200,1123
qisnotnq,1615719600.0,ahc001,0,200,1122
ysanno,1615719600.0,ahc001,0,199,1121
siro53,1615719600.0,ahc001,0,199,1120
aoken_7,1615719600.0,ahc001,0,198,1119
Asmil1024,1615719600.0,ahc001,0,197,1116
fuyutsubaki,1615719600.0,ahc001,0,198,1119
koncha,1615719600.0,ahc001,0,222,1164
osata,1615719600.0,ahc001,0,209,1141
guriko,1615719600.0,ahc001,0,229,1177
kakira,1615719600.0,ahc001,0,228,1175
rosso01,1615719600.0,ahc001,0,202,1127
zezero,1615719600.0,ahc001,0,213,1148
altairrr,1615719600.0,ahc001,0,165,1047
puvon,1615719600.0,ahc001,0,217,1156
Yoika,1615719600.0,ahc001,0,216,1154
yougoto,1615719600.0,ahc001,0,216,1153
jefj1,1615719600.0,ahc001,0,215,1152
Romann,1615719600.0,ahc001,0,214,1149
harmokey,1615719600.0,ahc001,0,215,1151
NASU41,1615719600.0,ahc001,0,226,1171
S4A3K,1615719600.0,ahc001,0,214,1150
SnowFlakes,1615719600.0,ahc001,0,221,1162
ecto0310,1615719600.0,ahc001,0,218,1158
surume2436,1615719600.0,ahc001,0,211,1145
terakan315,1615719600.0,ahc001,0,211,1144
shi,1615719600.0,ahc001,0,211,1144
yone_kpr,1615719600.0,ahc001,0,210,1143
ryuchelswifty13,1615719600.0,ahc001,0,210,1142
Masalmah,1615719600.0,ahc001,0,198,1118
floating,1615719600.0,ahc001,0,218,1157
oliverx3,1615719600.0,ahc001,0,208,1139
alan8585,1615719600.0,ahc001,0,186,1094
Loa,1615719600.0,ahc001,0,184,1089
yarrr,1615719600.0,ahc001,0,183,1087
Tatsuyaaaa,1615719600.0,ahc001,0,182,1086
maddenvvs,1615719600.0,ahc001,0,182,1085
Creamy,1615719600.0,ahc001,0,182,1084
mim_afol,1615719600.0,ahc001,0,181,1083
conan1024hao,1615719600.0,ahc001,0,185,1091
tsuchiwww,1615719600.0,ahc001,0,180,1080
prd_xxx,1615719600.0,ahc001,0,183,1088
chigichan24,1615719600.0,ahc001,0,206,1135
amayapetako,1615719600.0,ahc001,0,183,1088
Kevinrobot34,1615719600.0,ahc001,0,259,1226
JerseyHolstein,1615719600.0,ahc001,0,178,1077
comai,1615719600.0,ahc001,0,178,1076
hiraku,1615719600.0,ahc001,0,177,1075
Godowsky,1615719600.0,ahc001,0,177,1074
Zakky,1615719600.0,ahc001,0,177,1073
taitakra,1615719600.0,ahc001,0,180,1081
forever,1615719600.0,ahc001,0,186,1093
Ruchia,1615719600.0,ahc001,0,179,1078
ichi5_ohagi,1615719600.0,ahc001,0,191,1104
kyo1,1615719600.0,ahc001,0,190,1102
pointN,1615719600.0,ahc001,0,184,1090
kichi2004_,1615719600.0,ahc001,0,187,1096
east1016,1615719600.0,ahc001,0,187,1095
n0ma_ru,1615719600.0,ahc001,0,191,1105
nephrologist,1615719600.0,ahc001,0,357,1354
Akari__,1615719600.0,ahc001,0,190,1103
heysan,1615719600.0,ahc001,0,194,1111
rxoxixyxd,1615719600.0,ahc001,0,194,1110
reisato80,1615719600.0,ahc001,0,193,1109
MinoruTazakura,1615719600.0,ahc001,0,193,1108
monkukui,1615719600.0,ahc001,0,193,1108
Raclamusi,1615719600.0,ahc001,0,192,1107
Hexazine,1615719600.0,ahc001,0,192,1106
rmizuta,1615719600.0,ahc001,0,185,1092
HayatoY,1615719600.0,ahc001,0,196,1115
eye_engine,1615719600.0,ahc001,0,195,1113
kanzakihikaru,1615719600.0,ahc001,0,189,1101
Hec,1615719600.0,ahc001,0,189,1100
moondemon68,1615719600.0,ahc001,0,188,1099
CheckMate,1615719600.0,ahc001,0,188,1098
Ushiiin,1615719600.0,ahc001,0,188,1098
kitayuta,1615719600.0,ahc001,0,188,1097
Kude,1615719600.0,ahc001,0,144,991
bqn,1615719600.0,ahc001,0,375,1374
Aqua3k,1615719600.0,ahc001,0,366,1364
ganmodokix,1615719600.0,ahc001,0,709,1709
emthrm,1615719600.0,ahc001,0,848,1848
kabotcha,1615719600.0,ahc001,0,789,1789
btk15049,1615719600.0,ahc001,0,820,1820
ha15,1615719600.0,ahc001,0,750,1750
Roy_R,1615719600.0,ahc001,0,683,1683
yudedako,1615719600.0,ahc001,0,630,1630
tobiuo1990,1615719600.0,ahc001,0,643,1643
gnocuil,1615719600.0,ahc001,0,775,1775
koikotya,1615719600.0,ahc001,0,1193,2193
chocorusk,1615719600.0,ahc001,0,773,1773
White_Green,1615719600.0,ahc001,0,637,1637
hiro116s,1615719600.0,ahc001,0,889,1889
hdrop,1615719600.0,ahc001,0,760,1760
colun,1615719600.0,ahc001,0,783,1783
zach,1615719600.0,ahc001,0,781,1781
NaTa8,1615719600.0,ahc001,0,797,1797
chudanu,1615719600.0,ahc001,0,907,1907
untan,1615719600.0,ahc001,0,811,1811
kaage,1615719600.0,ahc001,0,745,1745
siman,1615719600.0,ahc001,0,861,1861
hotpepsi,1615719600.0,ahc001,0,770,1770
earlgrey_yh,1615719600.0,ahc001,0,829,1829
hiikunZ,1615719600.0,ahc001,0,838,1838
Risen,1615719600.0,ahc001,0,526,1526
yupiteru,1615719600.0,ahc001,0,719,1719
NKT,1615719600.0,ahc001,0,794,1794
shun2741,1615719600.0,ahc001,0,823,1823
eijirou,1615719600.0,ahc001,0,1023,2023
sumoooru,1615719600.0,ahc001,0,926,1926
Haa,1615719600.0,ahc001,0,851,1851
kyuridenamida,1615719600.0,ahc001,0,845,1845
takoshi,1615719600.0,ahc001,0,842,1842
T_tani,1615719600.0,ahc001,0,832,1832
EmK,1615719600.0,ahc001,0,806,1806
likr,1615719600.0,ahc001,0,633,1633
yomopota,1615719600.0,ahc001,0,814,1814
kumakumaaaaa,1615719600.0,ahc001,0,757,1757
Petr,1615719600.0,ahc001,0,858,1858
roto_37,1615719600.0,ahc001,0,854,1854
Thienu,1615719600.0,ahc001,0,803,1803
snuke,1615719600.0,ahc001,0,735,1735
hasi,1615719600.0,ahc001,0,518,1518
abb,1615719600.0,ahc001,0,742,1742
pekepon,1615719600.0,ahc001,0,514,1514
yokozuna57,1615719600.0,ahc001,0,645,1645
MatsuTaku,1615719600.0,ahc001,0,765,1765
Tyranno,1615719600.0,ahc001,0,791,1791
yamad,1615719600.0,ahc001,0,690,1690
Stonefeang,1615719600.0,ahc001,0,800,1800
tsukammo,1615719600.0,ahc001,0,675,1675
Taiyo,1615719600.0,ahc001,0,778,1778
dividebyzero,1615719600.0,ahc001,0,698,1698
fine,1615719600.0,ahc001,0,740,1740
kabuto64425,1615719600.0,ahc001,0,669,1669
tsukasa_diary,1615719600.0,ahc001,0,665,1665
hogeover30,1615719600.0,ahc001,0,663,1663
renren_,1615719600.0,ahc001,0,649,1649
jjjjjjjtgpptmjj,1615719600.0,ahc001,0,826,1826
omu,1615719600.0,ahc001,0,728,1728
pnnc205j,1615719600.0,ahc001,0,882,1882
Oe4ef622,1615719600.0,ahc001,0,653,1653
sk4rd,1615719600.0,ahc001,0,673,1673
ikom,1615719600.0,ahc001,0,671,1671
tfuji,1615719600.0,ahc001,0,681,1681
neterukun,1615719600.0,ahc001,0,647,1647
ynymxiaolongbao,1615719600.0,ahc001,0,692,1692
wkb89_,1615719600.0,ahc001,0,641,1641
yta_smh17,1615719600.0,ahc001,0,730,1730
betrue12,1615719600.0,ahc001,0,762,1762
taiga0629,1615719600.0,ahc001,0,705,1705
nullkara_,1615719600.0,ahc001,0,712,1712
kawatea,1615719600.0,ahc001,0,1392,2392
sash0,1615719600.0,ahc001,0,677,1677
shindannin,1615719600.0,ahc001,0,679,1679
antguz,1615719600.0,ahc001,0,701,1701
fky_,1615719600.0,ahc001,0,696,1696
ngng628,1615719600.0,ahc001,0,639,1639
iwata,1615719600.0,ahc001,0,721,1721
chaby,1615719600.0,ahc001,0,716,1716
dsytk7,1615719600.0,ahc001,0,714,1714
toku4388,1615719600.0,ahc001,0,707,1707
tarattata,1615719600.0,ahc001,0,688,1688
youluoy,1615719600.0,ahc001,0,703,1703
you070707,1615719600.0,ahc001,0,694,1694
kaz49bz,1615719600.0,ahc001,0,755,1755
kimonohanger,1615719600.0,ahc001,0,725,1725
se1ka2,1615719600.0,ahc001,0,723,1723
wattaihei,1615719600.0,ahc001,0,685,1685
masakun137,1615719600.0,ahc001,0,659,1659
WA_TLE,1615719600.0,ahc001,0,871,1871
iica,1615719600.0,ahc001,0,737,1737
y_kawano,1615719600.0,ahc001,0,733,1733
kanra824,1615719600.0,ahc001,0,661,1661
yuya178,1615719600.0,ahc001,0,892,1892
YamagenSakam,1615719600.0,ahc001,0,900,1900
1_no_se,1615719600.0,ahc001,0,1232,2232
iehn,1615719600.0,ahc001,0,1253,2253
atcoder,1615719600.0,ahc001,0,875,1875
saharan,1615719600.0,ahc001,0,1315,2315
kozima,1615719600.0,ahc001,0,930,1930
ebicochineal,1615719600.0,ahc001,0,1375,2375
dn6049949,1615719600.0,ahc001,0,1143,2143
c7c7,1615719600.0,ahc001,0,1243,2243
endagorion,1615719600.0,ahc001,0,978,1978
Rafbill,1615719600.0,ahc001,0,1784,2784
toame,1615719600.0,ahc001,0,1100,2100
bin101,1615719600.0,ahc001,0,1093,2093
kr,1615719600.0,ahc001,0,1554,2554
eivour,1615719600.0,ahc001,0,1167,2167
wleite,1615719600.0,ahc001,0,1212,2212
USA,1615719600.0,ahc001,0,1625,2625
takumi152,1615719600.0,ahc001,0,1289,2289
packer_jp,1615719600.0,ahc001,0,1343,2343
Shibuyap,1615719600.0,ahc001,0,1222,2222
newbiedmy,1615719600.0,ahc001,0,1114,2114
august14,1615719600.0,ahc001,0,878,1878
iaNTU,1615719600.0,ahc001,0,1121,2121
gazelle,1615719600.0,ahc001,0,1159,2159
phyllo,1615719600.0,ahc001,0,1450,2450
inazuma110,1615719600.0,ahc001,0,103,857
Komaki,1615719600.0,ahc001,0,1869,2869
tomerun,1615719600.0,ahc001,0,1720,2720
yowa,1615719600.0,ahc001,0,1587,2587
Jirotech,1615719600.0,ahc001,0,1497,2497
Aquarius,1615719600.0,ahc001,0,1668,2668
spady,1615719600.0,ahc001,0,107,874
iwashi31,1615719600.0,ahc001,0,1087,2087
ricetta,1615719600.0,ahc001,0,62,657
bowwowforeach,1615719600.0,ahc001,0,1328,2328
naname,1615719600.0,ahc001,0,114,899
sansaqua,1615719600.0,ahc001,0,1358,2358
ts_,1615719600.0,ahc001,0,1301,2301
Omotchi,1615719600.0,ahc001,0,1524,2524
ynasu,1615719600.0,ahc001,0,1473,2473
kusano,1615719600.0,ahc001,0,1128,2128
Nekomimimi,1615719600.0,ahc001,0,1429,2429
